"javamajor","javaversion","released","expired"
5,"1.5.0","2004-10-04","2004-12-25"
5,"1.5.0_01","2004-12-25","2005-03-16"
5,"1.5.0_02","2005-03-16","2005-05-03"
5,"1.5.0_03","2005-05-03","2005-07-04"
5,"1.5.0_04","2005-07-04","2005-09-18"
5,"1.5.0_05","2005-09-18","2005-12-07"
5,"1.5.0_06","2005-12-07","2006-05-29"
5,"1.5.0_07","2006-05-29","2006-08-13"
5,"1.5.0_08","2006-08-13","2006-11-12"
5,"1.5.0_09","2006-11-12","2006-12-22"
5,"1.5.0_10","2006-12-22","2007-03-08"
5,"1.5.0_11","2007-03-08","2007-06-11"
5,"1.5.0_12","2007-06-11","2007-10-05"
5,"1.5.0_13","2007-10-05","2008-03-06"
5,"1.5.0_15","2008-03-06","2008-07-23"
5,"1.5.0_16","2008-07-23","2008-12-03"
5,"1.5.0_17","2008-12-03","2009-03-25"
5,"1.5.0_18","2009-03-25","2009-05-29"
5,"1.5.0_19","2009-05-29","2009-08-06"
5,"1.5.0_20","2009-08-06","2009-09-09"
5,"1.5.0_21","2009-09-09","2009-11-04"
5,"1.5.0_22","2009-11-04","2016-01-01"
6,"1.6.0","2006-12-23","2007-05-07"
6,"1.6.0_01","2007-05-07","2007-07-03"
6,"1.6.0_02","2007-07-03","2007-10-03"
6,"1.6.0_03","2007-10-03","2008-01-14"
6,"1.6.0_04","2008-01-14","2008-03-05"
6,"1.6.0_05","2008-03-05","2008-04-16"
6,"1.6.0_06","2008-04-16","2008-10-15"
6,"1.6.0_10","2008-10-15","2008-12-03"
6,"1.6.0_11","2008-12-03","2008-12-12"
6,"1.6.0_12","2008-12-12","2009-03-24"
6,"1.6.0_13","2009-03-24","2009-05-28"
6,"1.6.0_14","2009-05-28","2009-08-04"
6,"1.6.0_15","2009-08-04","2009-08-11"
6,"1.6.0_16","2009-08-11","2009-11-04"
6,"1.6.0_17","2009-11-04","2010-01-13"
6,"1.6.0_18","2010-01-13","2010-03-30"
6,"1.6.0_19","2010-03-30","2010-04-15"
6,"1.6.0_20","2010-04-15","2010-07-07"
6,"1.6.0_21","2010-07-07","2010-10-12"
6,"1.6.0_22","2010-10-12","2010-12-08"
6,"1.6.0_23","2010-12-08","2011-02-15"
6,"1.6.0_24","2011-02-15","2011-03-21"
6,"1.6.0_25","2011-03-21","2011-06-07"
6,"1.6.0_26","2011-06-07","2011-08-16"
6,"1.6.0_27","2011-08-16","2011-10-18"
6,"1.6.0_29","2011-10-18","2011-12-12"
6,"1.6.0_30","2011-12-12","2012-02-14"
6,"1.6.0_31","2012-02-14","2012-04-26"
6,"1.6.0_32","2012-04-26","2012-06-12"
6,"1.6.0_33","2012-06-12","2012-08-14"
6,"1.6.0_34","2012-08-14","2012-08-30"
6,"1.6.0_35","2012-08-30","2012-10-16"
6,"1.6.0_37","2012-10-16","2012-12-11"
6,"1.6.0_38","2012-12-11","2013-02-01"
6,"1.6.0_39","2013-02-01","2013-02-19"
6,"1.6.0_41","2013-02-19","2013-03-04"
6,"1.6.0_43","2013-03-04","2013-04-16"
6,"1.6.0_45","2013-04-16","2013-06-18"
6,"1.6.0_51","2013-06-18","2013-10-15"
6,"1.6.0_65","2013-10-15","2014-01-14"
6,"1.6.0_71","2014-01-14","2014-04-15"
6,"1.6.0_75","2014-04-15","2014-07-15"
6,"1.6.0_81","2014-07-15","2014-10-16"
6,"1.6.0_85","2014-10-16","2015-01-21"
6,"1.6.0_91","2015-01-21","2015-04-14"
6,"1.6.0_95","2015-04-14","2015-07-15"
6,"1.6.0_101","2015-07-15","2015-10-20"
6,"1.6.0_105","2015-10-20","2016-01-20"
6,"1.6.0_111","2016-01-20","2016-02-05"
6,"1.6.0_113","2016-02-05","2016-01-01"
7,"1.7.0","2011-07-28","2011-10-18"
7,"1.7.0_01","2011-10-18","2011-12-12"
7,"1.7.0_02","2011-12-12","2012-02-14"
7,"1.7.0_03","2012-02-14","2012-04-26"
7,"1.7.0_04","2012-04-26","2012-06-12"
7,"1.7.0_05","2012-06-12","2012-08-14"
7,"1.7.0_06","2012-08-14","2012-08-30"
